,text
17,"Hi all,Due to living in the Bay Area, I as unable to see Vancouver's victory overthe Jets last night.  I know the score, but that rarely describes the game.Could someone please post a brief sonapsis (sp?) of waht happened.  How welldid each team play?  Were the cannucks deserving of the victory?Also, could some kind soul please email me the end of season, individualplayer stats?Greg"
18,"Thanks again.  One final question.  The name Gehrels wasn't known tome before this thread came up, but the May issue of Scientific Americanhas an article about the ""Inconstant Cosmos"", with a photo of NeilGehrels, project scientist for NASA's Compton Gamma Ray Observatory.Same person?-- Mark Brader, SoftQuad Inc., Toronto	""Information! ... We want information!""utzoo!sq!msb, msb@sq.com				-- The Prisoner"
19,    I'm sick too watching all-american names like GRETZKY etc.    Which names you accept ? Sitting bull and dances with wolves ?    It is North America. What are you doing here ?
20,"    ^^^If french is your language, try counting in french in stead, maybeit will work better.... :-)"
22," > be the site of major commercial activity. As far as we know it has no > materials we can't get cheaper right here on Earth or from asteroids > and comets, aside from the semi-mythic He3 that *might* be useful in low > grade fusion reactors.I don't know what a ""low grade"" fusion reactor is, but the majorproblem with 3He (aside from the difficulty in making any fusionreactor work) is that its concentration in lunar regolith is just sosmall -- on the order of 5 ppb or so, on average (more in somefractions, but still very small).  Massive amounts of regolith wouldhave to be processed.This thread reminds me of Wingo's claims some time ago about the moonas a source of titanium for use on earth.  As I recall, Wingo wasn'tcontent with being assured that titanium (at .5% in the Earth's crust,average) would not run out, and touted lunar mines, even though themarket price of ilmenite concentrate these days is around $.06/pound.This prompted me to look up large potential terrestrial sources.On the moon, titanium occurs in basalts; ""high-Ti"" basalts (Apollo 11and 17) have 8-14% titanium dioxide (by weight).  This is nice, but...terrestrial continental flood basalts are also typically enriched intitanium.  They very often have 3% TiO2, frequently have 4%, andsometimes even 5% TiO2 (again, by weight).  These flood basalts are*enormous* -- millions of cubic kilometers, scattered all over theworld (Siberia, Brazil, the NW United States, Ethiopia, etc.).  Ifeven 1% of the basalts are 5% TiO2, this is trillions of tons of TiO2at concentrations only a factor of 2-3 less than in lunar high-Tibasalts.  It is difficult to see how the disadvantages of the mooncould be overcome by such a small increase the concentration of theore (never mind the richer, but less common, terrestrial ores beingmined today)."
23,"A very good modeling package I found is `irit' (look for irit.tar.Z).However there is no converter from it's format to POV format. I postet a request for such a converter in this group but got no response,so I'm considering to write such a program myself."
25,I was watching the Detroit-Minnesota game last night and thought I saw anoctopus on the ice after Ysebaert scored to tie the game at two. What gives?(is there some custom to throw octopuses on the ice in Detroit?)-------Not Responsible -- Dain Bramaged!!
26,"Any lunar satellite needs fuel to do regular orbit corrections, and whenits fuel runs out it will crash within months.  The orbits of the Apollomotherships changed noticeably during lunar missions lasting only a fewdays.  It is *possible* that there are stable orbits here and there --the Moon's gravitational field is poorly mapped -- but we know of none.Perturbations from Sun and Earth are relatively minor issues at lowaltitudes.  The big problem is that the Moon's own gravitational fieldis quite lumpy due to the irregular distribution of mass within the Moon."
27,Are  complex  bio-medical  images  available  anywhere on the net for experimentation?  By complex I mean that every sampled data point has a magnitude and phase information both. 
28,"In my last post I referred to Michael Adams as ""Nick.""  Completely myerror; Nick Adams was a film and TV actor from the '50's and early '60's(remember Johnny Yuma, The Rebel?).  He was from my part of the country,and Michael's email address of ""nmsca[...]"" probably helped confuse thingsin my mind.  Purely user headspace error on my part.  Sorry."
29,"I had posted this before, but the buyer fell through, so here goes again...."
31,": : >A stupid question, but what will CView run on and where can I get it? I: >am still in need of a GIF viewer for Linux. (Without X-Windows.): >Thanks!: > : : Ho boy. There is no way in HELL you are going to be able to view GIFs or do: any other graphics in Linux without X windows!  I love Linux because it is: so easy to learn..  You want text?  Okay.   Use Linux. You want text AND: graphics?  Use Linux with X windows.  Simple.  Painless.  REQUIRED to have: X Windows if you want graphics!  This includes fancy word processors like: doc, image viewers like xv, etc.:Ummm, I beg to differ. A kind soul sent me a program called DPG-VIEW thatwill do exactly what I want, view GIF images under Linux without X-Windows.And, it does support all the way up to 1024x768. The biggest complaint Ihave is it is painfully SLOW. It takes about 1 minute to display an image.I am use to CSHOW under DOS which takes a split second. Any idea why itis so slow under Linux? Anybody have anything better? Plus, anybody havethe docs to DPG-View? Thanks! "
32,"Acorn Replay running on a 25MHz ARM 3 processor (the ARM 3 is about 20% slowerthan the ARM 6) does this in software (off a standard CD-ROM). 16 bit colour atabout the same resolution (so what if the computer only has 8 bit coloursupport, real-time dithering too...). The 3D0/O is supposed to have a couple ofDSPs - the ARM being used for housekeeping.A 25MHz ARM 6xx should clock around 20 ARM MIPS, say 18 flat out. Dependsreally on the surrounding system and whether you are talking ARM6x or ARM6xx(the latter has a cache, and so is essential to run at this kind of speed withslower memory).I'll stop saying things there 'cos I'll hopefully be working for ARM aftergraduation...MikePS Don't pay heed to what reps from Philips say; if the 3D0/O doesn't beat the   pants off 3DI then I'll eat this postscript."
34,"Doug-- Actually, if memory serves, the Atlas is an outgrowth of the old Titan ICBM.  If so, there's probably quite a few old pads, albeit in need of some serious reconditioning.  Still, Being able to buy the turf and pad (and bunkers, including prep facility) at Midwest farmland prices strikes me as pretty damned cheap."
35,"I'm in Edmonton, and while that's usually (or at least OFTEN) the case,here we were ""treated"" to the actual ABC telecast of the Kings/Flamesgame.  I'm with whoever said it earlier - Don Witless (er, Whitman) isa poor commentator, and not just for hockey.  Normally, if the Oilerswere still playing (augh), I would turn off the sound and listen to the radio broadcast to get decent play-by-play announcing."
36,"I have an Intel SatisFAXtion Modem/100 INTERNAL for sale.It runs at 2400 baud data mode and up to 9600 baud as a Class 1 fax modem.It transmits up to 9600 baud (V.29) and receives up to 4800 baud (V.27 ter.)The modem has all original manuals and comes with software, icluding  Intel's SatisFAXtion and FAXability, as well as Crosstalk CommunicatorI have used this modem less than an hour.  It came with my computer and I  already had another one.I would like to ask $50 for this modem, but will entertain all serious offers.Please email to jmu@acpub.duke.edu"
37,"TO: saz@hook.corp.mot.comSZ>Does anybody know of a program that converts .GIF files to .BMP filesSZ>and if so, where can I ftp it from?  Any help would be greatlySZ>appreciated.  Sure... A GREAT shareware  program is Graphic Workshop (the newest  version is 6.1).  Although I don't know where you can ftp it from.  It  also converts to about 15 other formats, and does MANY other things.....r.c V.t.ell. .r..."
39,"   I agree. I also think Roy needs a good kick sometimes...that horrible4-0 loss to the Capitals last week...yeeeech!   Here's to Cup #23...this year! -- Richard J. Rauser        ""You have no idea what you're doing.""rauser@sfu.ca            ""Oh, don't worry about that. We're professionalWNI                          outlaws - we do this for a living."""
40,"Apparently, Part 2 (defensemen numbered 2 through 19) was lost when I postedit; to make things worse, I lost my own copy.  I have asked on the Sharksmailing list, on which it did get out, to see if someone can mail me a copyback.  If someone responds, I will repost it when I get it; otherwise, I willre-write it in a day or two and post it.  Sorry about that.#8	LARRY DEPALMA		Season:	3rdAcquired:	'91-92, free agent from MinnesotaGrade:		I (C-/D+)No netter/fan watching the Sharks, including me, knows where DePalma was atthe end of the season; the Sharks appeared to still have his rights, but hewasn't in San Jose, he wasn't in Kansas City, and his name hasn't appeared onthe waiver wire.  And that kind of invisibility was prevalent for the most partfor DePalma.  After being called up October 30 against the Tampa Bay Lightning,DePalma had an excellent week, scoring 5 points in 3 games while playing gooddefense.  Unfortunately, the 27-year-old DePalma then disappeared the rest ofthe way, getting just 3 more points in 15 more games, and generally lookedlethargic and uninterested on both ends of the ice.  He then was sent down toKansas City, walked out from there, and was suspended and later reinstatedwhen it was revealed that he was injured; he then promptly disappeared fromthe watching eyes of Shark Bytes (as the mailing list is now known to Sharksofficials) faithful, and neither the Sharks nor we miss him.#10	JOHAN GARPENLOV		Season: 3rdAcquired:	'91-92, trade with Detroit for D Bob McGill and 8th round		pick in '92 entry draft from VancouverGrade:		A/A-After an early slump, Garpenlov was nothing short of inspirational the restof the way, finishing with 66 points in 79 games, second highest total on theteam, as he clicked well with team MVP Kelly Kisio and right wing RobGaudreau.  Kisio got most of the credit, but Garpenlov, finishing second inthe MVP voting, clearly demonstrated his playmaking and scoring skills, as hewas seen making excellent centering passes as well as finishing passes to himby putting the puck past opposing goaltenders, getting a club-high 14 power-play goals.  Contrary to his previous rep, Garpenlov also showed that despitehis small size (5' 11"", 183 lbs.), he was willing to throw himself aroundwhen necessary, albeit not very successful yet.  He also still needs to workon his defense, although he improved tremendously throughout the season, andwas actually quite a good penalty killer by the end of the season.  He willbe a major key to the offense next year.#15	DAVID BRUCE		Season: 5thAcquired:	'91-92, from St. Louis in expansion draftGrade:		I (?)After a banner '91-92, when he led the team in power-play goals (10) andwas third in total scoring (38 points in 60 games), Bruce was botheredvirtually all of this season with a groin injury, which kept him out of thelineup for all by 17 games this season.  Of course, it is difficult tospeculate how well he would have done this season had he not been affected bythe injury, but the 28-year-old Bruce was effective with a man up or a manshort in the Sharks' first season, and was expected to be a strong offensiveleader this season as well.  The injury appears serious, which is a shame,because otherwise he may have a much brighter future for now; instead, hisfuture with the Sharks next season appears clouded.#18	MARK PEDERSON		Season:	3rdAcquired:	'92-93, trade with Philadelphia for C/LW Dave SnuggerudGrade:		I (B)It is difficult for me to understand the Flyers' decision to unload Pederson,after a very good offensive season last season (40 points in 58 games), butafter riding the pine early in the season, Pederson was summarily sent to theSharks in exchange of the defensive-minded Snuggerud, and he finished with41 games combined with the Flyers and the Sharks.  He was also limited byinjuries this season, and this limited his production (17 points).  But whenhealthy, Pederson appears impressive, with a good scoring touch, good size(and the willingness to throw it around, although he's not considered aphysical forward), and good speed.  He also does not appear to be a liabilityon defense, but the Sharks probably have to wait until next season to see howmuch, exactly, Pederson can do.#20	JOHN CARTER		Season: 4thAcquired:	'91-92, free agent from BostonGrade:		I (B+/B)Carter was definitely one of the hardest workers on the team, and the hardwork worked wonders, as at times he looked great on ice.  However, although hedid look great at times, the fact that he received just 16 points (in 55games) for his efforts is a sign that there is only so much his hard work cando, and the Sharks confirmed that by sending him to Kansas City with about20 games left in the season.  Carter, who will turn 30 on May 6, alwayshussled, but as a result, was sometimes trapped too deep within the offensivezone while forechecking, but he was generally a credit on the defensive end,but he is probably of limited utility in that capacity, and he did not impressoffensively, although he was one of the best Sharks at drawing penalties.  Heis very unlikely to be back next season.#28	JEAN-FRANCOIS QUINTIN	Season: 1stAcquired:	'91-92, from Minnesota in dispersal draftGrade:		I (B+/B)I don't understand why the Sharks didn't let Quintin play any more than the14 games he played this season.  He was generally hard-working and creatingopportunities offensively, and appeared, at age 23, ready for regular NHLduty, at least for a team like the Sharks, finishing with 7 points in those14 games while not being a defensive liability.  Shoulder injury in trainingcamp before the '91-92 season limited Quintin, the team's leading scorer inexhibition games despite sitting out the final two, to just 29 games with theSharks and the Blades that season, but he looked impressive.  He should be asolid contender for regular duty next season.#41	MARK BEAUFAIT		Season: 1stAcquired:	2nd round pick in 1991 supplemental draftGrade:		I (?)After a all-star season at Kansas City, Beaufait got a cup of coffey with theSharks late in the season when the Blades knocked down a playoff spot and theSharks decimated with injuries, playing 5 games and scoring a goal for his onlyNHL point thus far.  Despite small size (5' 9"", 165 lbs.), Beaufait was not shyto throw himself around when necessary, and looked pretty good at times,although it's too early to judge him based on 5 NHL games, in which he playedmostly left wing, away from his center position at Northern Michigan andKansas City.#42	JAROSLAV OTEVREL	Season: 1stAcquired:	8th round pick in 1991 entry draftGrade:		I (?)Like Beaufait, Otevrel also played away from his normal position when he wasup for his cup of tea (7 games) midway through the season.  He was generallyvery much of a defensive liability, and did not show much offensively either,although that may be more indicative of the lack of ice time he got in those7 games.  He may need another season to work on his defense, but once hisdefense is acceptable, he should be ready.#44	MICHEL PICARD		Season: 1stAcquired:	'92-93, trade with Hartford for LW Yvon CorriveauGrade:		I (B-/C+)The 23-year-old Picard, although he perennially tore up the minors, seems tobe close to being out of chances, for some reason, after being acquired by theSharks but failing to impress the management in 25 games, scoring 4 goals forhis only points, and he spent most of the rest of the way in Kansas City.He was not particularly strong defensively, and despite his offensivebrilliance in the minors, he has failed thus far to score in the NHL, althoughhe has been given limited opportunities.  He may be the Sharks' bait in theexpansion draft.#45	DODY WOOD		Season: 1stAcquired:	3rd round pick in 1991 entry draftGrade:		I (D+/D, although perhaps I shouldn't give a grade at all)I have been accused of knocking on Wood too much. :-)  Then, it is probablyno surprise to you that I am thoroughly unimpressed by Wood thus far, although13 games is a small example.  He was generally a nonfactor on offense, wasnot particularly good defensively, and took too many silly penalties, losingmany fights in the process and gathering 69 penalty minutes in those 13 games,projecting to to 446(!) in an 84-game season.  He's not ready, and needs atleast another season at KC, where he can work on his fighting skills, ifnothing else.  His relatively small size (5' 11"", 181 lbs.) does not give muchpossibility that he can survive, at this stage, as an enforcer."
41,I am looking for a large futon and frame.
42,"Sorry to everyone for wasting space.  Matt, the other day you posted thatyou were doing a mailing list of playoff stats.  I lost your address. Please put me on that list.  Thanks."
43,"His designated point-getter remarks were not only meant for Lemieux,but for Gretzky, Bure, etc. etc. .... and he made those particularremarks last December before Lemieux was diagnosed with Hodgkin's,and as the Leafs started their second half roll, and beforeGilmour's great season was being recognized by many people."
45,"But with cheaper fuel from space based sources it will be cheaper to reach more orbits than from the ground.Also remember, that the presence of a repair/supply facility adds valueto the space around it. If you can put your satellite in an orbit where itcan be reached by a ready source of supply you can make it cheaper and gainbenefit from economies of scale.  Allen"
47,":>re: majority of users not readding from floppy.:>Well, how about those of us who have 1400-picture CD-ROMS and would like to use:>CVIEW because it is fast and it works well, but can't because the moron lacked:>the foresight to create the temp file in the program's path, not the current:>didrectory?:  Actually the most flexible way to create temp files is to check for a TEMP or: TMP environment variable and create the files on the drive and directory pointedto by the variable.  This is pretty much a standard for DOS, Windows and OS/2: applications.Unfortunately, cview does not pay attention to the temp environment variable."
50,"I have a researcher who collecting electical impulses fromthe human heart through a complex Analog to Digital systemhe has designed and inputting this information into his EISAbus HP Vectra Computer running DOS and the Phar Lap DOS extender. He want to purchase a very high-performance video card for3-D modeling. He is aware of a company called Matrox buthe is concerned about getting married to a company and theirvideo routine library. He would hope some more flexibility:to choose between several card manufacturers with a standardvideo driver. He would like to write more generic code- code that could be easily moved to other cards or computer operatingsystems in the future. Is there any hope?Any information would be greatly appreciated-Please, if possible, respond directly to internet mail to raymaker@bcm.tmc.edu"
52,"Howdy all,	I was wondering if people could e-mail me their opinions onthe various graphics viewers available for MS-Windows 3.x...  I'mworking on a project to set up our scanner and write documentation onhow to use it and it would be nice to have a snazzy image viewer to look at (and maybe even edit?) the image you just scanned.The file formats I'm looking for:GIFJPEGTIFFPCXwhatever other 'major' file formats there are.Thanks a lot for your helpGrant"
54,"As I understand it, THe difference between 3D Studio 2.00 and 2.01 is mainlyin the IPAS interface, along with a few small bug fixes. The IPAS code runsa lot faster in the newest version."
57,"> MOTOROLA EXPO VHF 2WATT/2CHAN. HT--------[new]-------$1200.00> Would like $400, or BEST OFFER!!!I'm sure that the Motorola is worth it, but this kind of thinghas always mystified me.  $400 is the price of very good, newdual-band, fully synthasized HT.  Yes, yes, I know MotorolaHTs are bullet-proof, unbreakable, plutonium-based indestructable -- you can drive a tank over them and they'llstill work.  But just how often does that come up?  Why are hamswilling (and they *are*) to spend the price of a synthaszieddual-bander for a 2-channel xtal rig???  Note: this is nota flame; as I said, I'm sure this is a good deal for this rig.I'm just amazed that it *is* a good deal.  I would have guessedthat a 2 channel xtal rig could never be worth as much as a dual-bander to a ham, no matter how durable. Just shows you how wrong*I* can be.Mike, N4PDY"
58,"They have a few problems. The biggest technical problem is the need to findtwo satellites going to the same rough orbit for a luanch.They also don't show much interest in commercial launches. There is moremoney to be made churning out Titan IV's for the government. After all,it isn't every day you find a sucker, er, customer who thinks payingthree times the commercial rate for launch services is a good idea!  Allen"
59,I am interested in a 2d/3d graphics library which will allow our designteam to write graphics software for Unix workstations and be as portable as possible.  Eventually this software will have to be moved to MicrosoftWindows.  It is my opinion that a good API with hooks to PEX underneathwould prove most portable.Does anyone out there have any experience with Figaro+ form TGS orHOOPS from Ithaca Software?  I would appreciate any comments.- Claye Hart
61,"Alan,	don't forget,  a HUGE  cost for airliner developement is FAAcertification.  the joke is when the paperwork  exceeds teh weightof the airplane,  it will fly.The SR-71, and teh X-15  both highly ambitious  aero-space projects were doneon very narrow engineering budgets.   Partly because they didn't spend muchon paper  pushing.   There is some company in missouri  trying toget funding to build light commercial transporters  on a low cost basis,mostly by reducing FAA  certification costs."
62,"Yes, but... shouldn't size of newsgroup be an issue?  Sorry if thishas been covered before, but comp.grahpics.animation get how much traffic per day?  50 articles?  Maybe 70 on an extremely heavy day?I've been following this group for about four months now, and I don'trecall ever seeing such a flood of posts that a split would be warranted.Just my 2 cents,"
63,Let's fill in some winners here:
65,"Hello,Hello,     I was wondering if anyone knew of a PC or MACimplementation of the marching cubes algorithm that will outputthe individual faces.  If there is no such application, might therebe some C source code that I could modify to implement thealgorithm and get to the individual faces.Thanks in advanceSincerlyTracy"
66,"There are several public domain utilities available at your usualarchive site that allow 'extraction' of single frames from a .glfile, check in the 'graphics' directories under *grasp.  The problem is that the .clp files you generate cannot be decoded by any of the many pd format converters I have used. Any hint welcome!Let me know if you have problems locating the utilities.Hope it helps."
67,"Also remember that every dollar spent keeping one spacecraft in safe mode(probably a spin-stabilized sun-pointing orientation) is a dollar notspent on mission analysis for a newer spacecraft.  In order to turn thespacecraft back on, you either need to insure that the Ops guys will beavailable, or you need to retrain a new team.Having said that, there are some spacecraft that do what you have proposed.Many of the operational satellites Goddard flies (like the Tiros NOAA series) require more than one satellite in orbit for an operational set.Extras which get replaced on-orbit are powered into a ""standby"" mode foruse in an emergency.  In that case, however, the same ops team is stillrequired to fly the operational birds; so the standby maintenance isrelatively cheap.Finally, Pat's explanation (some spacecraft require continuous maintenanceto stay under control) is also right on the mark.  I suggested a spin-stabilized control mode because it would require little power or maintenance, but it still might require some momentum dumping from timeto time.In the end, it *is* a political decision (since the difference is money),but there is some technical rationale behind the decision."
70,"When the Lunar Society's $500M estimate of the cost of a lunar colony wasmentioned at Making Orbit, somebody asked Jerry Pournelle ""have you talkedto Bill Gates?"".  The answer:  ""Yes.  He says that if he were going tosink that much money into it, he'd want to run it -- and he doesn't havethe time.""(Somebody then asked him about Perot.  Answer:  ""Having Ross Perot on yourboard may be a bigger problem than not having the money."")"
71,"Yesterday I wrote a program to do bilinear interpolation ala NumericalRecipes, with the PBMPLUS libraries.  I'm pretty happy with the results,but I'm looking for any already-coded non-linear interpolation schemesbefore I go ahead an try to write one.  Any pointers?--"
74,"Well, it seems that the Habs have been much talked-about of late, so here's my$0.02.  These guys have absolutely no concept of how to play in front of thedamn net!!!  Watch them in the offensive zone, especially on the powerplay. Damphousse or Lebeau will skate all over the bloody zone, maybe pass to thepoint, get it back, skate some more, pass it around....BUT WHERE'S THE SHOT??!Answer: the shot is totally useless because they lack a forward who standsin front of the net a la` Neely, Shanahan, Tocchet, etc etc.  Too bad Demers won't put Dipietro or LeClair on the powerplay more often.  Dammit,even Ewen would at least cause some disruptions.  Montreal desperately needsa power forward with some talent, IMO.Then watch them in their own zone. Patrick Roy is screened on everything. Saywhat you want about his performance; IMNSHO he cannot stop what he cannot see. And Montreal's defence does a miserable job of clearing the front of the net. Last night against Washington Roy played a *great* game.  The first goal cameon the most ridiculous goalmouth scramble I've seen in a long time, and hedidn't have a hope in hell of stopping the shot.  The second goal came on adeflection of a shot he only partially saw anyway.  Pathetic defence.  Thethird goal was EN.No wonder he gets pissed off at his defencemen."
79,"Why?  I'm calling this Penguins ... in 6.  Only that with the way things stand, the only radio game at that hour is from the Devilson WABC, 770 AM.  It'd be nice to have a Sony Watchman, but ...No need to be paranoid, Robbie.  Don't judge me by my geographiccoordinates ...Jets over Nordiques in the final ... 7.gld"
81,": Speaking of great players, man-oh-man can Quebec skate.  I haven't seen a: team so potent on the rush in a long time.  Watching them break out of their: zone, especially Sundin, is a treat to watch.  They remind me of the Red : Army.  : dchhabra@stpl.ists.ca (pissed-off Habs fan)Yeah, the Nords look like they're going to be good...but (excuse thebias) have you ever watched the Pens on a rush?...Don't answer: everyonehas seen this footage.  Near the end of the season when the Pens playedthe Nords it was like watching a (younger) double of the Pens.  ...TheNords looked good right up to the point when they lost. --Ravi Shahshah+@pitt.edu"
82,There was a Science fiction movie sometime ago (I do not remember its name) about a planet in the same orbit of Earth but hidden behind the Sun so it could never be visible from Earth. Turns out that that planet was the exact mirror image of Earth and all its inhabitants looked like the Earthings with the difference that their organs was in the opposite side like the heart was in the right side instead in the left and they would shake hands with the left hand and so on... C.O.EGALON@LARC.NASA.GOVC.O.Egalon@larc.nasa.gov
