,text
764,"======================================================================             NYC ACM/SIGGRAPH: UNDERSTANDING IMAGES======================================================================  SUBJECT:    Pace University/SIGGRAPH Conference on UNDERSTANDING IMAGES    ===========================================================    The purpose of this conference is to bring together a breadth of    disciplines, including the physical, biological and computational    sciences, technology, art, psychology, philosophy, and education,    in order to define and discuss the issues essential to image    understanding within the computer graphics context.    FEATURED TOPICS INCLUDE:                Psychology/Perception                Image Analysis                Design                Text                Sound                Philosophy     DATE:  Friday & Saturday, 21-22 May 1993     TIME:  9:00 am - 6:00 pm    PLACE:  The Pace Downtown Theater            One Pace Plaza                (on Spruce Street between Park Row & Gold Street)            NY, NY 10038     FEES:        PRE-REGISTRATION (Prior to 1 May 1993):            Members         $55.00            Non-Members     $75.00            Students        $40.00 (Proof of F/T Status Required)        REGISTRATION (After 1 May 1993 or On-Site):            All Attendees   $95.00        (Registration Fee Includes Brakfast, Breaks & Lunch)    SEND REGISTRATION INFORMATION & FEES TO:        Dr. Francis T. Marchese        Computer Science Department        NYC/ACM SIGGRAPH Conference        Pace University        1 Pace Plaza (Room T-1704)        New York NY 10036        voice: (212) 346-1803   fax: (212) 346-1933        email: MARCHESF@PACEVM.bitnet======================================================================REGISTRATION INFORMATION:Name _________________________________________________________________Title ________________________________________________________________Company ______________________________________________________________Street Address _______________________________________________________City ________________________________State____________Zip_____________Day Phone (___) ___-____    Evening Phone (___) ___-____FAX Phone (___) ___-____    Email_____________________________________======================================================================DETAILED DESCRIPTION:=====================    Artists, designers, scientists, engineers and educators share the    problem of moving information from one mind to another.    Traditionally, they have used pictures, words, demonstrations,    music and dance to communicate imagery.  However, expressing    complex notions such as God and infinity or a seemingly well    defined concept such as a flower can present challenges which far    exceed their technical skills.    The explosive use of computers as visualization and expression    tools has compounded this problem.  In hypermedia, multimedia and    virtual reality systems vast amounts of information confront the    observer or participant.  Wading through a multitude of    simultaneous images and sounds in possibly unfamiliar    representions, a confounded user asks: ""What does it all mean?""    Since image construction, transmission, reception, decipherment and    ultimate understanding are complex tasks, strongly influenced by    physiology, education and culture; and, since electronic media    radically amplify each processing step, then we, as electronic    communicators, must determine the fundamental paradigms for    composing imagery for understanding.    Therefore, the purpose of this conference is to bring together a    breadth of disciplines, including, but not limited to, the    physical, biological and computational sciences, technology, art,    psychology, philosophy, and education, in order to define and    discuss the issues essential to image understanding within the    computer graphics context.    FEATURED SPEAKERS INCLUDE:        Psychology/Perception:            Marc De May, University of Ghent            Beverly J. Jones, University of Oregon            Barbara Tversky, Standfor University            Michael J. Shiffer, MIT            Tom Hubbard, Ohio State University        Image Analysis:            A. Ravishankar Rao, IBM Watson Research Center            Nalini Bhusan, Smith College            Xiaopin Hu, University of Illinois            Narenda Ahuja, University of Illinois            Les M. Sztander, University of Toledo        Design:            Mark Bajuk, University of Illinois            Alyce Kaprow, MIT        Text:            Xia Lin, Pace University            John Loustau, Hunter College            Jong-Ding Wang, Hunter College            Judson Rosebush, Judson Rosebush Co.        Sound:            Matthew Witten, University of Texas            Robert Wyatt, Center for High Performance Computing            Robert S. Williams, Pace University            Rory Stuart, NYNEX        Philosophy            Michael Heim, Education Foundation of DPMA"
767,"Also photoshopII is out soon, has anyone got a date and any cofmments?Andy        _______________________________________________________        | Andrew Leahy | aleahy@cch.coventry.ac.uk | Odd FROG |        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"
778,"HI All,Can someone point me towards some articles on 'boids' orflocking algorithms... ?Also, articles on particle animation formulas would be nice... ________________________________________________________________________ \________________________________________________________________________\|--- þ DeLuxeý 1.25 #8086 þ Head of Co*& XV$# Hi This is a signature virus. Co"
873,"3rd uptade:Here are the standings for the poll after 39 votes: 5 points for 1st, 4 for 2nd,... 1 point for 5th: EA/ NHLPA game1. DET 1022. CHI  97 3. NY   744. VAN  735. MTL  696. PIT  337. WSH  298. BOS  219..ASW  16 10.CGY  1011.QUE   912.ASE   813.WPG   714.LA    5   OTW   5   STL   5   TOR   518.BUF   3   PHI   3   TBY   321.SJ    222.MIN   1   Atlanta to win Turner Cup 1 (not in the game, but 1 person vote)24.EDM   0   HTF   0   LI    0   NJ    04 teams have no pointContinue to send your votes in this format (until April 20th, approximately)------------------------------------------------1.2.3.4.5.------------------------------------------------Keywords: -- _____________________________________________________"
891,"I think that NHLPA' 93 is the best video game available now.of course many things could be done better, but i really appreciate thatthe names of players are the real ones, no matter if it lacks some logos...I am still playing it since November leading different teams to the finalsand making scorers from the same team compete for the top scoring:Yesterday I won the title using Toronto against Hartford (4 games to two),I played the playoffs in a 7 games fashion (5 minutes for each period) andthe best scorer and shooter was Gilmour (116 shots if I remember well)-- _____________________________________________________  Iskander AYARI"
911,"Just out of curiousity, how old is Worden?--_______________________________________________________________________________"
1076,"SIGKIDS CALL FOR PARTICIPATIONSIGKids Research Showcase is where learning is hip.  Pushing the edge ineducation, computer graphics, and new technologies, the SIGKids ResearchShowcase will provide SIGGRAPH's attendees with the latest in applyingcomputer technology to form state of the art educational experiences.  Sohop to it!  Submit any works which converge the disciplines of educationand computer technology.Possible categories and domains include but are NOT LIMITED to:-Interactive/stand-alone applications-Self-Run demonstrations and tutorials-Museum Installations-Groupware/Collaborative systems-Hypermedia-Virtual Reality-Scientific Visualization-Interactive Art-MicroworldsDeadlines:May 21, 1993 submissions due  Submit to:Diane SchwartzSIGGRAPH '93 SIGKids Committeec/o The Institute for the Learning Sciences1890 Maple Avenue, Suite 150Evanston, Illinois 60201Fax:	708.491.5258schwartz@ils.nwu.eduElectronic Submission Form:schwartz@ils.nwu.eduHow to Submit:1. Fill out the 'Permission to Use' form (see page 19 of the SIGGRAPH '93Call for Participation or send email to schwartz@ils.nwu.edu to have onefaxed to you.)2. Fill out the SIGKids '93 Research Showcase Submission Form (below).3. Send an abstract/description of the submission (approximately 100 words)in one of the following ways:    A. Send 3 hard copies to Diane Schwartz (via surface mail) at the above       address							                    OR    B. Fax 1 copy to Diane Schwartz at (708)491-5258                           OR    C. Email 1 copy to Diane Schwartz at schwartz@ils.nwu.edu4. If it is necessary to explain the project, additional support materialsuch as videotapes and slides that will assist the selection committee inreaching a decision are highly reccommended. Fax and email submissions are acceptable.PLEASE SEND ALL OF YOUR SUBMISSION MATERIAL IN THE SAME FORM (eithersurface mail, email, or fax. The only exception to this should be theadditional support material which should only be sent via surface mail). NOTE: Due to our very limited budget, if the submitter chooses to have adedicated machine for their work, they will have to pay rental feesfor the hardware personally.NOTE: Contributors outside for the United States should be aware of customsand carrier delays and send submissions early.______________________________________cuthere__________________________________         ACM SIGGRAPH '93 SIGKIDS RESEARCH SHOWCASE ENTRY FORMA copy of this form must accompany each proposal you submit.  Send SIGKidsResearch Showcase Entries to:Diane SchwartzSIGGRAPH '93 SIGKids Committeec/o The Institute for the Learning Sciences1890 Maple Avenue, Suite 150Evanston, Illinois 60201Fax:	708.491.5258schwartz@ils.nwu.eduPlease print legibly.Contact Information: Name________________________________________________Company______________________________________________Address______________________________________________City_________________________________________________State_____________Postal code______________Country_________________ Daytime phone_____________________Evening phone____________________Fax_____________________________Email______________________________Additional Information:Title or Theme of Piece__________________________________ Participant(s') name(s)___________________________________Collaborator(s') name(s)__________________________________ Hardware (platform and periferals):1. What isneeded:_____________________________________________________________________________________________________________________________________________________________________________________________________________________________2. Supplied by Participant:		___ Yes  ___ No	3. Dedicated machine?		___ Yes  ___ NoNOTE:  Due to our very limited budget the participant must pay the rentalfees for any dedicated hardware.___Need assistance(specify)____________________________________________________ ________________________________________________________________________________________________________________________________________________________________Software________________________________________________________________________________________________________________________________________________________________________________________________________________________________________Statement - Please tell us the significance of the work.(less than 50 words)________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________Medium:___Other (describe - i.e. virtual reality, virtual sculpture, interactivemultimedia installation,etc.)__________________________________________________________________________________________________________________________________________________________________________________________________________________Special Requirements:Physicaldescription____________________________________________________________ ________________________________________________________________________________________________________________________________________________________________Power___________________________________________________________________________________________________________________________________________________________________________________________________________________________________________Dimensions______________________________________________________________________________________________________________________________________________________________________________________________________________________________________Other__________________________________________________________________________________________________________________________________________________________________________________________________________________________________________AuthorizationPermission to use visual and audio:  In the event that materials used in myACM SIGGRAPH'93 SIGKids Research Showcase Entry contain the work of otherindividuals or organizations (including any copyrighted musicalcompositions or excerpts thereof), I understand that it is myresponsibility to secure any necessary permissions and/or liscenses.  	___Yes ___No  My piece contains images, audio, or video components.               If yes:	              ___Yes ___No  I have the necessary rights and/or permissionsto                             use the images, audio, or video components inmy                             piece.Conference presentation release:  By signing this form, I grant SIGGRAPH'93permission to consider my piece for the SIGKids Research Showcase.  Imaintain the copyright to my work and will receive full credit whereverthis work is used.Conference promotional material:  I grant ACM SIGGRAPH the right to use myslides for conference and organization publicity, both now and in thefuture.  This includes usage on posters, brochures, catalogs, promotionalitems, or media broadcast. In exchange, SIGGRAPH provides fullauthor/artist credit information on all promotional material.___Yes ___No  I grant ACM SIGGRAPH permission to use slides of my work              for conference and organization publicity.Signature______________________________________Date_________ACM SIGGRAPH makes every attempt to respect and protect intellectual property rights of people and organizations preparing material for SIGGRAPH conferences. This entry form explains the uses SIGGRAPH will make of the material and requires you to acknowledge that you have permission to use this material.  This may involve seeking clearance from your employer or from others who have loaned you material, such as videotapes and slides.  This form helps prevent situations whereby SIGGRAPH'93 presentations include material without permission that might lead to complaints or even legal action."
1240,;^)
1281,"News-Software: UReply 3.1X-X-From: Wingert@VNET.IBM.com (Bret Wingert)            <C5uBn5.tz@zoo.toronto.edu> ========================================================================A couple of points on this thread.1. We have been using our processes since way before Challenger.  Challenger   in and of it self did not uncover flaws.2. What Mr. Spencer says is by and large true.  We have a process that is   not dependent on ""sophisticated tools""  (CASE tools?).  However, tools   cannot fix a bad process.  Also, tool support for HAL/S (the Shuttle   Language) is somewhat limited.3. The Onboard Flight Software project was rated ""Level 5"" by a NASA team.   This group generates 20-40 KSLOCs of verified code per year for NASA.4. Feel free to call me if you or your organization is interested in more info   on our software development process.Bret Wingert(713)-282-7534FAX: (713)-282-8077Bret Wingert"
1311,==============================================================================
1327,"This is yet for a friend again.EMS Freq. Shifter. (The machine that made those 3-D swirling guitar effects                    way back in the 70's.)Spacial panner with harmonic shifting. Very rare - A collectors Item. Thisis the last unit EMS ever made. Rack mountable. Mono in, Up/Down signals outwith seperate Pan out and sine/unsine voltage outs. VCO input too to controlLFO. If interested contact Kevin before 9 pm PST (California) at 818-362-7883and make an offer.Do not reply to this account.Have a nice day__________________________________________________________________________   |       /         |\   | H E   \ Y B E R |/ E N            [ xorcist@cyberden.sf.ca.us ]"
1643,"HiI am looking for Image Analysis software running in DOS or Windows. I'd like to be able to analyze TIFF or similar files to generate histograms of patterns, etc. Any help would be appreciated!__________________________________________________________________________"
1662,"COD is fine until the buyer opens the box to find they paid 150.00for a brick. Or if it the seller allows for a personal check to be usedon a COD it's fine till a stop payment is made. There are few methodsto protect both buyer and seller in any sort of transaction. Even withmerchants and customers there are problems...stolen credit cards, chargebacks, no return policies and getting the wrong item, etc.About the only protection available to to do business with someone youtrust....someone who has been around for a while.Jeff________________________________________________________________________"
1665,"Any comments on the absorbtion of the Office of Exploration into theOffice of Space Sciences and the reassignment of Griffin to the ""ChiefEngineer"" position?  Is this just a meaningless administrativeshuffle, or does this bode ill for SEI?In my opinion, this seems like a Bad Thing, at least on the surface.Griffin seemed to be someone who was actually interested in gettingthings done, and who was willing to look an innovative approaches togetting things done faster, better, and cheaper.  It's unclear to mewhether he will be able to do this at his new position.Does anyone know what his new duties will be?--_______________________________________________________________________________"
1795,"==============================================================================Bear with me i'm new at this game, but could anyone explain exactly what DMORFdoes, does it simply fade one bitmap into another or does it re shape one bitmap into another. Please excuse my ignorance, i' not even sure if i've posted this message correctly."
1820,"How 'bout some more info on that alleged supernova in M-81?I might just break out the scope for this one.____________________________________________________""No sir, I don't like it! ""-- Mr. HorseDan Kelo     dkelo@pepvax.pepperdine.edu____________________________________________________"
2000,"Hey Patrick, the Montana Magic played in Billings, not Great Falls...Marc, Phoenix and Houston it is... -------------------------------------------------------------------------------        _/_/    _/         _/_/   _/_/_/_/ _/_/_/_/   _/_/     _/_/_/      _/    _/  _/       _/    _/      _/  _/       _/    _/  _/    _/    _/  _/       _/    _/     _/   _/       _/    _/  _/   _/_/_/    _/       _/_/_/_/    _/    _/_/_/   _/_/_/      _/_/  _/    _/  _/       _/    _/   _/     _/       _/    _/        _/ _/    _/  _/       _/    _/  _/      _/       _/     _/       _/    _ _ ______/_/_/    _/_/_/_/ _/    _/ _/_/_/_/ _/_/_/_/ _/      _/ _/_/_/     - - /____/...............................................................................Marc Foster, r.s.h contact for the Oklahoma City Blazers, 1993 Central HockeyUniversity of Oklahoma Geography Department               League Adams CupInternet: mfoster@geohub.gcn.uoknor.edu                   Champions          mfoster@alliant.backbone.uoknor.edu To be placed on the CHL Mailing List, send email to either address above."
2059,"==============================================================================Please bear with me as i am new at this game, i apologize unreservedly if i have posted another message earlier by mistake. but i digress, could anyone out there please explain exactly what DMORF does (dtax.exe). Does it simply fade onebitmap into another or does it reshape one bitmap into another. Excuse my ignorance....."
2113,"==============================================================================Has anyone created any interesting animations using DmorphI seem to be unable to create anything that looks remotelyrealistic although this is probably due to the crappy GIF'sat I am using (One of Captain Kirk and One of Spock), i'm abit of a 'Trekker'.  What are the best type of pictures to use.thanks........            A.Situnayake"
2156,"Rick Tocchet was captain of the Flyers for several years before he wastraded to the Pens...                                    -John Santore============================================================================= ____________________                                /                    \                   ""We break the surface tension \_________     ____   \                   with our wild kinetic dreams""/             /    \   \                        -Rush, Grand Designs\_______     /  (*) )   )/           / /\___/   /                 Go Philadelphia Flyers!\_____     / /        //         /  \_______/                   John Santore (jsbh@andrew.cmu.edu)\________/   "
2249,"Since everybody wants to see Pittsburgh players not playing, theStanley cup would be devaluated.-- _____________________________________________________  Iskander AYARI"
2322,"=========================commodore 128epson homewriter 10  9 pin printer1571 d/s disk drive2 joysticks1 mouselotsa software, both games and apps.rapid fire joystick adapter==========================about a year old$130 OBO"
